source_id,source_name,target_id,target_name,relationship_type,confidence,conversation_id,utterance_id_last_updated,evidence
u8446,ANDREWS,u8462,ROSE,acquaintance,0.78,L615224,L615225,"Rose addresses him formally as 'Mr. Andrews,' and he replies personally to 'young Rose,' indicating they know each other but no closer relationship is shown."
u8446,ANDREWS,u8464,SMITH,unclear,0.78,L614994,L614995,The exchange only shows Smith asking for a time estimate and Andrews answering; it does not establish their relationship type.
u8447,BODINE,u8460,LOVETT,ally,0.62,L615318,L615320,"Bodine gives Lovett a directive, 'Rush her,' while they appear to be coordinating around Rose and the object she might drop."
u8448,BROCK,u8458,LIZZY,unclear,0.55,L614609,L614610,The exchange only shows Brock insisting he will not leave without 'it'; there is no clear cue about his relationship to Lizzy.
u8449,BUELL,u8460,LOVETT,unclear,0.78,L614389,L614390,"The exchange only shows the caller giving her name after Lovett asks who she is, with no clear established relationship."
u8450,CAL,u8455,JACK,adversarial,0.95,L615194,L615196,"Cal insults Jack as a liar and asserts dominance with 'I always win, Jack,' indicating a hostile, oppositional relationship."
u8450,CAL,u8459,LOVEJOY,acquaintance,0.45,L615202,L615203,"They are conversing directly about Cal's actions, but the text gives no clear evidence of a closer, formal, service, or hostile relationship."
u8450,CAL,u8462,ROSE,acquaintance,0.45,L615299,L615300,"Cal refers to Rose's mother and is directly discussing what to tell her, showing they know each other, but the exact relationship is not specified."
u8450,CAL,u8463,RUTH,unclear,0.72,L614514,L614515,The exchange only shows Cal responding to Ruth about Rose; it does not establish Cal and Ruth's relationship.
u8451,FABRIZIO,u8455,JACK,friend,0.72,L614770,L614771,"Jack asks casually how Fabrizio and another person are doing, and Fabrizio responds informally with a personal comment."
u8452,FLEET,u8456,LEE,friend,0.62,L614915,L614917,They speak informally and jokingly as peers sharing the same situation: 'us two to get warm.'
u8453,HITCHINS,u8461,MOLLY,adversarial,0.95,L615268,L615269,Hitchins responds to Molly with a hostile threat: 'there'll be one less in this boat!'
u8454,ISMAY,u8464,SMITH,unclear,0.58,L614952,L614954,"The exchange only shows ISMAY asking SMITH for information about the ship; no clear familial, romantic, service, authority, or other relationship is established."
u8455,JACK,u8450,CAL,adversarial,0.9,L615194,L615195,"Cal accuses Jack of being a liar, and Jack responds with an insulting comparison, showing hostility."
u8455,JACK,u8451,FABRIZIO,ally,0.72,L615136,L615137,"Jack uses 'we' and coordinates with Fabrizio to escape danger, indicating they are acting together."
u8455,JACK,u8462,ROSE,ally,0.76,L615282,L615284,"Jack urges Rose to survive and keep her promise, showing a supportive relationship in a crisis."
u8456,LEE,u8452,FLEET,friend,0.62,L614931,L614932,"Fleet addresses Lee informally as 'mate,' suggesting an informal peer relationship."
u8457,LIGHTOLLER,u8464,SMITH,authority,0.95,L614878,L614882,"Smith gives an operational command, 'Maintain speed and heading,' and Lightoller responds deferentially, 'Yes sir.'"
u8458,LIZZY,u8448,BROCK,acquaintance,0.6,L614609,L614611,"Lizzy addresses Brock by first name and discusses a shared situation, but the context does not show closeness, authority, service, or family ties."
u8458,LIZZY,u8460,LOVETT,acquaintance,0.56,L614612,L614615,"They are conversing about Lizzy's grandmother, indicating they know each other, but no closer or structured relationship is shown."
u8459,LOVEJOY,u8450,CAL,ally,0.72,L615163,L615164,"Lovejoy advises Cal on where to find boats and which officer to stay near, showing cooperation toward a shared goal."
u8460,LOVETT,u8447,BODINE,adversarial,0.58,L615318,L615321,"Lovett directly rebukes Bodine's suggestion with 'It's hers, you schmuck,' showing immediate opposition and insult."
u8460,LOVETT,u8449,BUELL,acquaintance,0.55,L614393,L614394,"Buell prompts Lovett about taking the call, showing they know and interact with each other, but no closer or structured relationship is established."
u8460,LOVETT,u8458,LIZZY,unclear,0.72,L615311,L615312,"The brief exchange shows they are speaking, but provides no clear evidence of family, friendship, authority, service, romance, or conflict."
u8460,LOVETT,u8462,ROSE,adversarial,0.62,L615315,L615316,"Rose tells Lovett, 'Don't come any closer,' and Lovett responds with an accusatory-sounding surprise, indicating tension or opposition."
u8461,MOLLY,u8453,HITCHINS,adversarial,0.72,L615266,L615267,"Molly rebukes Hitchins with 'Aw knock it off' after he warns they'll be pulled down, showing direct conflict."
u8462,ROSE,u8446,ANDREWS,acquaintance,0.72,L615227,L615228,"They exchange polite good wishes, and Rose addresses him formally as 'Mr. Andrews,' indicating a known but not clearly close relationship."
u8462,ROSE,u8450,CAL,romantic_intent,0.68,L615302,L615303,"Cal says 'You're precious to me, Rose,' suggesting emotional or romantic attachment, while Rose rejects him with 'Goodbye, Mr. Hockley.'"
u8462,ROSE,u8455,JACK,romantic_intent,0.86,L615282,L615285,"Rose makes an emotionally intimate promise to Jack, saying 'I will never let go, Jack,' indicating strong personal attachment without a formal commitment stated."
u8462,ROSE,u8460,LOVETT,acquaintance,0.68,L614596,L614597,"Rose addresses him formally as 'Mr. Lovett' while responding to his request for information, suggesting a known but not close relationship."
u8462,ROSE,u8463,RUTH,familial,0.98,L615063,L615064,"Rose says 'Goodbye, mother,' directly indicating Ruth is her mother."
u8463,RUTH,u8450,CAL,acquaintance,0.62,L615018,L615019,"Ruth addresses Cal formally as 'Mr. Hockley,' indicating a known but not clearly intimate or structured relationship in the provided context."
u8463,RUTH,u8462,ROSE,familial,0.68,L614804,L614806,"Ruth refers to shared possessions and memories as 'our fine things' and 'our memories,' suggesting a close family household relationship."
u8464,SMITH,u8446,ANDREWS,acquaintance,0.55,L614987,L614990,"They exchange technical information about the ship's condition, indicating they know and are speaking to each other professionally, but no clearer relationship is shown."
u8464,SMITH,u8454,ISMAY,unclear,0.58,L614952,L614955,"The exchange is polite and about the ship's condition, but no clear family, romantic, service, authority, or other structured relationship is shown."
u8464,SMITH,u8457,LIGHTOLLER,authority,0.96,L614878,L614883,"Smith gives operational commands to Lightoller, who responds 'Yes sir,' indicating a role-based authority relationship."
